회사명,직무,상황,지역,작성일,총점,승진 기회 및 가능성,복지 및 급여,업무와 삶의 균형,사내문화,경영진,총평,장점,단점,바라는점
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 09,100%,80%,80%,100%,60%,80%,"
BEST
      ""직원을 매우 잘 챙겨주는 회사이며, 매니저 바이 매니저 빨이 크다. 나의 경우 매니저가 매우 잘해줘서 엄청난 메리트를 느꼈다. 회사에 돈이 많아 매년 해외여행 간다.""
    ",일단 이 의료기기분야에서 탑급이기에 커리어를 쌓기가 매우 쉽다. 외국계 회사로써의 자부심과 연봉을 얻을 수 있다.,한국형 회사이기 때문에 군대 문화이다. 매니저 잘못 만나면 바로 나락간다. 악으로 깡으로 매니저에게 잘보이고 잘보여야한다.,"직원들을 위해 더욱 돈을 아끼지 말고 써서 자부심을 느끼게 해주세요. 현재 매년 상승세를 찍고 있는데, 더욱 박차를 가할 수 있게 휴먼 리소스 관리 바랍니다."
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 11,80%,80%,80%,60%,60%,60%,"
BEST
      ""커리어 개발 및 일을 배우기 좋은 회사""
    ",나름 직원의 입장을 최대한 봐주려고 함.다양한 기회를 주고 급여 부분도 나름 괜찮음.,약간 주먹구구식 경영 방식으로 헷갈리는 경우가 종종 있고 업무량이 상당히 많음,직원들의 입장을 생각해 주는 건 좋지만 실제 현장에서의 고충을 잘 들어줬으면 함
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 11,80%,80%,80%,60%,80%,80%,"
BEST
      ""성장하는 회사로 함께 일하는 직원들이 우수""
    ",급여와 복지 우수한 편직원개개인 능력 우수분위기 좋음,업무량 많은 편워라밸 노력 필요함여전히 매뉴얼 업무 많음,워라밸 개선 노력 필요함 직원 목소리 귀 기울이는 노력
보스톤사이언티픽코리아(주),영업/제휴,"
          전직원
      ",서울,2023. 10,60%,80%,80%,20%,20%,40%,"
BEST
      ""성장과 야망이 있는 사람들만 지원하시기 바랍니다. 꼰대들 사이에서 살아남을 수 있는 사람들만 지원하시기 바랍니다.""
    ",장점: - 외국계 - 연봉이 비교적으로 높음 - 해외로 킥오프 감,단점: - 팀바팀이지만 군대 문화 - 꼰대들 엄청 많음 - Aggressive Sales 선호 (제품력보다 샤바샤바 영업 추구),제발 윗대가리들 물가리 좀 하세요 아래 사람들 의견도 좀 들어주고 반영해주세요
보스톤사이언티픽코리아(주),영업/제휴,"
          현직원
      ",서울,2023. 10,60%,60%,60%,20%,100%,60%,"
BEST
      ""업무량 많다는 말 절대 무지하지마시길. 삶이 무너지는 업무량임.""
    ",같이 일하는 직원들 좋고 수평적인 문화. 돈은 나쁘지 않은데 업무량 생각하면 부족하다.,미친듯한 업무량으로 매일이 고비인 수준. 워라밸이 우선순위에 있다면 절대 고려도 하지 말길...,굴러간다고 더 시키지말고 지속 가능한 경영관리에 힘써주면좋을거같다
